Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
150.00,FP000004,3979.75,60.96,-27189.11,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
160.00,FP000001,1590.88,60.96,-24911.93,"(1776.063, 60.96, -25227.01)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
160.00,FP000002,1459.15,60.96,-24687.77,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
160.00,FP000003,1307.16,60.96,-24429.13,"(1369.919, 60.96, -24535.93)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
160.00,FP000004,3807.06,60.96,-27290.00,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
160.00,FP000005,4584.17,0.00,-26836.01,"(4584.168, 30.48, -26836.01)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
170.00,FP000001,1692.22,60.96,-25084.35,"(1776.063, 60.96, -25227.01)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
170.00,FP000002,1560.48,60.96,-24860.20,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
170.00,FP000003,1408.49,60.96,-24601.56,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
170.00,FP000004,3634.36,60.96,-27390.87,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
170.00,FP000005,4480.56,60.96,-26896.55,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
180.00,FP000001,1786.20,60.96,-25244.25,"(1979.164, 60.96, -25572.54)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
180.00,FP000002,1727.10,60.96,-24788.50,"(1919.555, 60.96, -24679.1)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
180.00,FP000003,1509.82,60.96,-24773.99,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
180.00,FP000004,3496.49,60.96,-27355.60,"(3341.486, 60.96, -27097.74)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
180.00,FP000005,4307.87,60.96,-26997.44,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
190.00,FP000001,1887.55,60.96,-25416.67,"(1979.164, 60.96, -25572.54)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
190.00,FP000002,1900.97,60.96,-24689.66,"(1919.555, 60.96, -24679.1)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
190.00,FP000003,1502.00,60.96,-24918.59,"(1226.389, 60.96, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
190.00,FP000004,3393.45,60.96,-27184.19,"(3341.486, 60.96, -27097.74)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
190.00,FP000005,4135.17,60.96,-27098.32,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
190.00,FP000006,4584.17,0.00,-26836.01,"(4584.168, 30.48, -26836.01)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
200.00,FP000001,1988.89,60.96,-25589.10,"(2182.283, 60.96, -25918.07)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
200.00,FP000002,2073.79,60.96,-24589.01,"(2266.109, 60.96, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
200.00,FP000003,1330.47,60.96,-25021.43,"(1226.389, 60.96, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
200.00,FP000004,3291.24,60.96,-27012.28,"(3138.296, 60.96, -26752.23)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
200.00,FP000005,3962.48,60.96,-27199.20,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
200.00,FP000006,4515.09,91.44,-26876.37,"(4237.696, 91.44, -27038.43)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
210.00,FP000001,2090.25,60.96,-25761.52,"(2182.283, 60.96, -25918.07)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
210.00,FP000002,2246.51,60.96,-24488.15,"(2266.109, 60.96, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
210.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
210.00,FP000004,3189.84,60.96,-26839.88,"(3138.296, 60.96, -26752.23)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
210.00,FP000005,3789.79,60.96,-27300.08,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
210.00,FP000006,4342.40,91.44,-26977.26,"(4237.696, 91.44, -27038.43)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
220.00,FP000001,2191.61,60.96,-25933.93,"(2385.422, 60.96, -26263.59)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
220.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
220.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
220.00,FP000004,3088.46,60.96,-26667.48,"(2935.125, 60.96, -26406.72)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
220.00,FP000005,3617.09,60.96,-27400.95,"(3544.695, 60.96, -27443.23)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
220.00,FP000006,4198.02,91.44,-26968.97,"(4034.499, 91.44, -26692.94)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
230.00,FP000001,2292.97,60.96,-26106.34,"(2385.422, 60.96, -26263.59)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
230.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
230.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
230.00,FP000004,2987.08,60.96,-26495.07,"(2935.125, 60.96, -26406.72)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
230.00,FP000005,3486.18,60.96,-27338.46,"(3341.486, 60.96, -27097.74)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
230.00,FP000006,4096.08,91.44,-26796.90,"(4034.499, 91.44, -26692.94)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
