Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
5848.00,COLLISION_START,FP000040,FP000043,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
5870.00,COLLISION_END,FP000040,FP000043,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
5876.00,COLLISION_START,FP000040,FP000043,18.86,30.00,"(10251.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
5877.00,COLLISION_END,FP000040,FP000043,36.29,30.00,"(10295.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
7517.00,COLLISION_START,FP000061,FP000077,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
7526.00,COLLISION_START,FP000063,FP000077,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
7526.00,COLLISION_START,FP000061,FP000063,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
7538.00,COLLISION_END,FP000063,FP000077,40.00,30.00,"(10262.88,0.00,8095.92)","(10223.10,4.24,8096.16)",0.00,20.00
7538.00,COLLISION_END,FP000061,FP000077,40.00,30.00,"(10262.88,0.00,8095.92)","(10223.10,4.24,8096.16)",0.00,20.00
7549.00,COLLISION_START,FP000063,FP000077,24.36,30.00,"(10262.88,0.00,8095.92)","(10243.67,14.96,8096.78)",0.00,20.00
7549.00,COLLISION_START,FP000061,FP000077,24.36,30.00,"(10262.88,0.00,8095.92)","(10243.67,14.96,8096.78)",0.00,20.00
7552.00,COLLISION_END,FP000063,FP000077,43.48,30.00,"(10262.88,0.00,8095.92)","(10303.67,15.03,8096.78)",0.00,20.00
7552.00,COLLISION_END,FP000061,FP000077,43.48,30.00,"(10262.88,0.00,8095.92)","(10303.67,15.03,8096.78)",0.00,20.00
7565.00,COLLISION_START,FP000063,FP000081,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
7565.00,COLLISION_START,FP000061,FP000081,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
7603.00,COLLISION_END,FP000063,FP000081,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
7604.00,COLLISION_END,FP000061,FP000063,48.00,30.00,"(10223.10,4.24,8096.16)","(10175.37,9.32,8096.46)",20.00,44.00
7604.00,COLLISION_END,FP000061,FP000081,40.00,30.00,"(10223.10,4.24,8096.16)","(10262.88,0.00,8095.92)",20.00,0.00
7607.00,COLLISION_START,FP000061,FP000063,4.67,30.00,"(10163.44,10.59,8096.53)","(10163.79,15.24,8096.79)",20.00,44.00
7608.00,COLLISION_END,FP000061,FP000063,64.29,30.00,"(10143.56,12.71,8096.65)","(10207.79,15.24,8096.79)",20.00,44.00
7609.00,COLLISION_START,FP000063,FP000081,18.86,30.00,"(10251.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
7610.00,COLLISION_END,FP000063,FP000081,36.29,30.00,"(10295.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
8357.00,COLLISION_START,FP000069,FP000073,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8398.00,COLLISION_END,FP000069,FP000073,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
8477.00,COLLISION_START,FP000060,FP000069,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8495.00,COLLISION_START,FP000060,FP000067,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8495.00,COLLISION_START,FP000067,FP000069,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8542.00,COLLISION_END,FP000067,FP000069,43.20,30.00,"(10262.88,0.00,8095.92)","(10219.92,4.58,8096.18)",0.00,14.40
8542.00,COLLISION_END,FP000060,FP000069,43.20,30.00,"(10262.88,0.00,8095.92)","(10219.92,4.58,8096.18)",0.00,14.40
8558.00,COLLISION_START,FP000060,FP000069,20.36,30.00,"(10262.88,0.00,8095.92)","(10249.40,15.24,8096.79)",0.00,14.40
8558.00,COLLISION_START,FP000067,FP000069,20.36,30.00,"(10262.88,0.00,8095.92)","(10249.40,15.24,8096.79)",0.00,14.40
8561.00,COLLISION_END,FP000060,FP000069,33.41,30.00,"(10262.88,0.00,8095.92)","(10292.60,15.24,8096.79)",0.00,14.40
8561.00,COLLISION_END,FP000067,FP000069,33.41,30.00,"(10262.88,0.00,8095.92)","(10292.60,15.24,8096.79)",0.00,14.40
8680.00,COLLISION_START,FP000060,FP000076,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8680.00,COLLISION_START,FP000067,FP000076,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
8827.00,COLLISION_END,FP000060,FP000076,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
8827.00,COLLISION_END,FP000067,FP000076,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
8831.00,COLLISION_END,FP000060,FP000067,88.00,30.00,"(10075.79,15.24,8096.79)","(10163.79,15.24,8096.79)",44.00,44.00
8833.00,COLLISION_START,FP000067,FP000076,18.86,30.00,"(10251.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
8834.00,COLLISION_END,FP000067,FP000076,36.29,30.00,"(10295.79,15.24,8096.79)","(10262.88,0.00,8095.92)",44.00,0.00
9288.00,COLLISION_START,FP000064,FP000078,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9375.00,COLLISION_END,FP000064,FP000078,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
9418.00,COLLISION_START,FP000064,FP000068,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9423.00,COLLISION_END,FP000064,FP000068,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
9462.00,COLLISION_START,FP000062,FP000068,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9484.00,COLLISION_START,FP000062,FP000070,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9484.00,COLLISION_START,FP000068,FP000070,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9521.00,COLLISION_END,FP000062,FP000068,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
9521.00,COLLISION_END,FP000068,FP000070,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
9629.00,COLLISION_START,FP000062,FP000066,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9629.00,COLLISION_START,FP000066,FP000070,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9675.00,COLLISION_END,FP000062,FP000070,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
9675.00,COLLISION_END,FP000062,FP000066,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
9780.00,COLLISION_START,FP000065,FP000066,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9780.00,COLLISION_START,FP000065,FP000070,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
9902.00,COLLISION_END,FP000065,FP000066,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
9902.00,COLLISION_END,FP000065,FP000070,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
