OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-020165,U,US,NY,LONG ISLAND CITY,40.74605,-73.957817,40 44 45.78N,073 57 28.14W,BLDG,1,309,321,R,4.0,D,N,2006AEA02990OE C,20,14124
36-029708,O,US,NY,NEW YORK,40.746708,-73.9418,40 44 48.15N,073 56 30.48W,BLDG,1,320,332,R,4.0,D,N,2015AEA02148OE C,20,16350
36-137651,O,US,NY,LONG ISLAND CITY,40.746756,-73.940875,40 44 48.32N,073 56 27.15W,BLDG-TWR,1,405,416,W,4.0,D,W,2016AEA03712OE A,20,18158
36-022800,O,US,NY,NEW YORK,40.746783,-73.911258,40 44 48.42N,073 54 40.53W,BLDG,1,170,271,U,1.0,A,U,A,20,11035
36-020565,O,US,NY,NEW YORK,40.746858,-73.990094,40 44 48.69N,073 59 24.34W,BLDG,1,668,709,R,5.0,D,N,2008AEA05081OE C,20,14304
36-206526,U,US,NY,NEW YORK,40.747081,-74.006897,40 44 49.49N,074 00 24.83W,BLDG,1,295,302,R,1.0,A,N,2019AEA01109OE A,20,23027
36-027603,O,US,NY,LONG ISLAND CITY,40.747222,-73.956944,40 44 50.00N,073 57 25.00W,BLDG,1,284,295,R,5.0,D,N,2011AEA04198OE C,20,14080
36-025535,O,US,NY,LONG ISLAND CITY,40.747231,-73.956028,40 44 50.03N,073 57 21.70W,BLDG,1,447,461,R,5.0,D,N,2011AEA01072OE A,20,11314
36-173301,O,US,NY,NEW YORK,40.747514,-73.988467,40 44 51.05N,073 59 18.48W,BLDG,1,368,408,N,4.0,D,N,2019AEA06210OE C,20,22168
36-120562,U,US,NY,NEW YORK,40.747525,-73.971075,40 44 51.09N,073 58 15.87W,BLDG,1,459,489,R,,,N,2017AEA04923OE A,20,17180
36-029711,O,US,NY,LONG ISLAND CITY,40.747653,-73.942331,40 44 51.55N,073 56 32.39W,BLDG,1,534,547,R,5.0,D,N,2014AEA07766OE C,20,16235
36-025834,O,US,NY,LONG ISLAND CITY,40.748064,-73.955506,40 44 53.03N,073 57 19.82W,BLDG,1,445,453,R,1.0,C,N,2011AEA02276OE A,20,12320
36-150439,O,US,NY,NEW YORK,40.74815,-73.944403,40 44 53.34N,073 56 39.85W,BLDG,1,766,782,R,1.0,A,N,2018AEA12371OE C,20,20154
36-129744,O,US,NY,LONG ISLAND CITY,40.748183,-73.936997,40 44 53.46N,073 56 13.19W,BLDG,1,496,519,R,2.0,C,N,2016AEA02535OE A,20,18030
36-025590,O,US,NY,LONG ISLAND CITY,40.748183,-73.956833,40 44 53.46N,073 57 24.60W,BLDG,1,365,376,R,5.0,D,N,2010AEA02897OE A,20,11362
36-124251,O,US,NY,LONG ISLAND CITY,40.748369,-73.938517,40 44 54.13N,073 56 18.66W,BLDG,1,513,532,N,2.0,C,N,2016AEA00029OE A,20,18162
36-197328,O,US,NY,NEW YORK,40.7484,-74.006239,40 44 54.24N,074 00 22.46W,BLDG,1,302,310,N,1.0,A,N,2019AEA03106OE A,20,21323
36-124252,O,US,NY,LONG ISLAND CITY,40.7486,-73.937522,40 44 54.96N,073 56 15.08W,BLDG,1,607,627,N,2.0,C,N,2016AEA00030OE A,20,17320
36-129851,U,US,NY,LONG ISLAND CITY,40.748747,-73.938892,40 44 55.49N,073 56 20.01W,BLDG,1,452,469,R,1.0,A,N,2017AEA08988OE A,20,18151
36-129768,O,US,NY,NEW YORK,40.748828,-73.974339,40 44 55.78N,073 58 27.62W,BLDG,1,441,476,N,4.0,D,N,2016AEA11128OE C,20,19066
36-020568,U,US,NY,LONG ISLAND CITY,40.748889,-73.938611,40 44 56.00N,073 56 19.00W,BLDG,1,339,360,R,4.0,D,N,2008AEA00860OE C,20,14124
36-029650,O,US,NY,LONG ISLAND CITY,40.748889,-73.942222,40 44 56.00N,073 56 32.00W,BLDG,1,455,468,R,5.0,D,N,2010AEA02139OE A,20,14086
36-226677,O,US,NY,NEW YORK,40.748992,-73.943661,40 44 56.37N,073 56 37.18W,BLDG,1,779,794,R,1.0,A,N,2023AEA01285OE A,20,24095
36-129854,U,US,NY,LONG ISLAND CITY,40.749236,-73.938008,40 44 57.25N,073 56 16.83W,BLDG,1,452,469,R,1.0,A,N,2017AEA08985OE A,20,18151
36-119809,O,US,NY,LONG ISLAND CITY,40.749369,-73.940414,40 44 57.73N,073 56 25.49W,BLDG,1,309,328,U,4.0,D,N,2012AEA00012OE A,20,19014
36-025690,O,US,NY,LONG ISLAND CITY,40.749636,-73.949733,40 44 58.69N,073 56 59.04W,BLDG,1,125,139,N,2.0,C,N,2012AEA02423OE A,20,12167
36-222038,O,US,NY,NEW YORK,40.75,-73.969167,40 45 00.00N,073 58 09.00W,BLDG,1,208,251,D,4.0,D,N,2022AEA15673OE A,20,24072
36-165494,O,US,NY,LONG ISLAND CITY,40.750278,-73.935847,40 45 01.00N,073 56 09.05W,BLDG,1,750,778,R,1.0,A,N,2015AEA04715OE C,20,20279
36-173482,O,US,NY,NEW YORK,40.750306,-73.999706,40 45 01.10N,073 59 58.94W,BLDG,1,99,127,N,1.0,A,N,2020AEA13191OE A,20,21119
36-226734,O,US,NY,NEW YORK,40.750336,-73.942506,40 45 01.21N,073 56 33.02W,BLDG,1,422,437,N,2.0,D,N,2022AEA05793OE A,20,24128
36-129820,U,US,NY,NEW YORK,40.750558,-73.876047,40 45 02.01N,073 52 33.77W,POLE,1,30,98,N,4.0,D,N,2017AEA07151OE A,20,18058
36-024708,O,US,NY,NEW YORK,40.750656,-73.993194,40 45 02.36N,073 59 35.50W,BLDG,1,151,184,N,5.0,D,N,2010AEA05055OE A,20,11193
36-213455,O,US,NY,LONG ISLAND CITY,40.750778,-73.936722,40 45 02.80N,073 56 12.20W,BLDG,1,283,317,N,4.0,D,N,2020AEA01915OE A,20,23081
36-001007,O,US,NY,NEW YORK,40.750833,-73.977778,40 45 03.00N,073 58 40.00W,BLDG,1,640,701,L,5.0,D,U,1980AEA01125OE C,20,14152
36-213382,U,US,NY,NEW YORK,40.750886,-73.939411,40 45 03.19N,073 56 21.88W,BLDG,1,334,358,R,4.0,D,N,2022AEA12128OE A,20,23068
36-129843,U,US,NY,NEW YORK,40.751144,-73.8462,40 45 04.12N,073 50 46.32W,STADIUM,1,136,148,N,4.0,D,N,2017AEA00212OE A,20,18121
36-001643,O,US,NY,NEW YORK,40.751389,-73.970278,40 45 05.00N,073 58 13.00W,BLDG,1,326,387,N,5.0,D,N,1991AEA00310OE C,20,14152
36-026848,O,US,NY,NEW YORK,40.7517,-73.968181,40 45 06.12N,073 58 05.45W,BLDG,1,565,599,R,1.0,A,N,2012AEA03466OE C,20,15028
36-169606,O,US,NY,NEW YORK,40.751886,-73.983958,40 45 06.79N,073 59 02.25W,BLDG,1,327,397,N,4.0,D,N,2018AEA04572OE A,20,20202
36-120236,U,US,NY,NEW YORK,40.752,-73.979694,40 45 07.20N,073 58 46.90W,ANTENNA,1,158,228,N,2.0,C,N,2015AEA00455OE A,20,18023
36-197989,O,US,NY,NEW YORK,40.752025,-74.004931,40 45 07.29N,074 00 17.75W,BLDG,1,157,167,N,1.0,D,N,2020AEA01175OE A,20,22307
36-219571,O,US,NY,NEW YORK,40.752033,-73.997692,40 45 07.32N,073 59 51.69W,BLDG,1,950,996,R,4.0,D,N,2021AEA01945OE A,20,23110
36-213472,U,US,NY,LONG ISLAND CITY,40.752278,-73.930778,40 45 08.20N,073 55 50.80W,TOWER,1,135,161,N,4.0,D,N,2021AEA15207OE A,20,22318
36-001065,O,US,NY,NEW YORK,40.752778,-73.97,40 45 10.00N,073 58 12.00W,BLDG,1,445,486,N,3.0,C,N,1982AEA01123OE C,20,14152
36-029752,O,US,NY,NEW YORK,40.752806,-74.001467,40 45 10.10N,074 00 05.28W,BLDG,1,904,921,H,4.0,D,N,2016AEA07534OE C,20,17093
36-029659,O,US,NY,LONG ISLAND CITY,40.752875,-73.940353,40 45 10.35N,073 56 25.27W,BLDG,1,227,243,R,5.0,D,N,2012AEA00019OE A,20,14108
36-152040,U,US,NY,NEW YORK,40.752922,-73.896364,40 45 10.52N,073 53 46.91W,BLDG,1,87,117,N,4.0,D,N,2017AEA12143OE A,20,19217
36-001287,O,US,NY,NEW YORK,40.753056,-73.967222,40 45 11.00N,073 58 02.00W,BLDG,1,556,577,R,3.0,C,N,1985AEA01407OE C,20,14152
36-206786,O,US,NY,NEW YORK,40.753219,-74.004119,40 45 11.59N,074 00 14.83W,BLDG,1,636,649,R,4.0,D,N,2022AEA09861OE A,20,23039
36-022798,O,US,NY,NEW YORK,40.753219,-73.900344,40 45 11.59N,073 54 01.24W,BLDG,1,132,165,U,1.0,A,U,A,20,11035
36-001464,O,US,NY,NEW YORK,40.753333,-73.97,40 45 12.00N,073 58 12.00W,BLDG,1,645,674,U,3.0,C,N,C,20,14152
36-029658,O,US,NY,NEW YORK,40.753333,-73.985556,40 45 12.00N,073 59 08.00W,BLDG,1,464,527,N,5.0,D,N,2012AEA04560OE C,20,15043
36-025379,O,US,NY,LONG ISLAND CITY,40.753347,-73.910211,40 45 12.05N,073 54 36.76W,BLDG,1,75,119,N,2.0,C,N,2011AEA00640OE A,20,11212
36-226584,O,US,NY,NEW YORK,40.753406,-74.004494,40 45 12.26N,074 00 16.18W,BLDG,1,558,570,R,4.0,D,N,2022AEA15015OE A,20,24100
36-226583,O,US,NY,NEW YORK,40.753564,-74.004878,40 45 12.83N,074 00 17.56W,BLDG,1,519,531,N,4.0,D,N,2022AEA15014OE A,20,24071
36-139955,O,US,NY,NEW YORK,40.753647,-73.870586,40 45 13.13N,073 52 14.11W,POLE,1,27,95,N,4.0,D,N,2018AEA04873OE A,20,18249
36-029894,O,US,NY,NEW YORK,40.753767,-74.003228,40 45 13.56N,074 00 11.62W,BLDG,1,917,933,R,4.0,D,N,2015AEA02031OE C,20,18283
36-139939,O,US,NY,NEW YORK,40.754061,-73.996231,40 45 14.62N,073 59 46.43W,BLDG,1,420,467,R,4.0,D,N,2018AEA02910OE C,20,19316
36-030168,O,US,NY,NEW YORK,40.754069,-73.986617,40 45 14.65N,073 59 11.82W,BLDG,1,340,399,N,4.0,D,N,2016AEA05070OE A,20,17047
36-022803,O,US,NY,NEW YORK,40.754233,-73.890506,40 45 15.24N,073 53 25.82W,BLDG,1,84,126,U,1.0,A,U,A,20,11035
36-030184,O,US,NY,NEW YORK,40.754383,-74.000994,40 45 15.78N,074 00 03.58W,BLDG,1,1276,1305,H,4.0,D,N,2014AEA05293OE C,20,20076
36-227277,U,US,NY,NEW YORK,40.754444,-73.975833,40 45 16.00N,073 58 33.00W,BLDG,1,144,208,N,4.0,D,N,2024AEA07989OE A,20,24241
36-024711,O,US,NY,NEW YORK,40.754453,-73.994439,40 45 16.03N,073 59 39.98W,BLDG,1,211,251,N,2.0,C,N,2011AEA00001OE A,20,11193
36-197889,O,US,NY,NEW YORK,40.754528,-73.999394,40 45 16.30N,073 59 57.82W,BLDG,1,1011,1043,D,1.0,A,N,2021AEA10868OE A,20,22318
36-120272,U,US,NY,NEW YORK,40.754972,-74.00235,40 45 17.90N,074 00 08.46W,BLDG,1,1008,1041,R,4.0,D,N,2015AEA02032OE C,20,18197
36-129845,U,US,NY,NEW YORK,40.755117,-73.888581,40 45 18.42N,073 53 18.89W,POLE,1,31,82,N,4.0,D,N,2017AEA08850OE A,20,18073
36-025439,O,US,NY,NEW YORK,40.755161,-73.965692,40 45 18.58N,073 57 56.49W,BLDG,1,176,215,N,1.0,A,N,2011AEA01597OE A,20,11224
36-022801,O,US,NY,NEW YORK,40.755225,-73.885003,40 45 18.81N,073 53 06.01W,BLDG,1,94,169,U,1.0,A,U,A,20,11035
36-029875,O,US,NY,NEW YORK,40.755225,-74.001764,40 45 18.81N,074 00 06.35W,BLDG,1,790,823,R,4.0,D,N,2015AEA07023OE C,20,18071
36-150706,O,US,NY,NEW YORK,40.755247,-73.998869,40 45 18.89N,073 59 55.93W,BLDG,1,1032,1064,D,4.0,D,N,2018AEA13738OE C,20,23173
36-020864,O,US,NY,NEW YORK,40.755347,-73.976094,40 45 19.25N,073 58 33.94W,BLDG-TWR,1,272,331,N,2.0,C,N,2010AEA03544OE A,20,11081
36-002752,O,US,NY,NEW YORK,40.755361,-73.984278,40 45 19.30N,073 59 03.40W,BLDG,1,1200,1265,D,5.0,D,N,2004AEA03088OE C,20,11102
36-025700,O,US,NY,NEW YORK,40.755383,-73.990894,40 45 19.38N,073 59 27.22W,BLDG,1,179,218,N,2.0,C,N,2012AEA02441OE A,20,12188
36-029701,O,US,NY,NEW YORK,40.755722,-73.965219,40 45 20.60N,073 57 54.79W,BLDG,1,354,391,R,5.0,D,N,2014AEA04381OE A,20,15131
36-129901,O,US,NY,NEW YORK,40.756014,-73.971672,40 45 21.65N,073 58 18.02W,BLDG,1,806,852,R,4.0,D,N,2017AEA11286OE C,20,18295
36-197986,U,US,NY,NEW YORK,40.756094,-73.975803,40 45 21.94N,073 58 32.89W,BLDG,1,1389,1450,R,4.0,D,N,2021AEA09354OE A,20,22307
36-002389,O,US,NY,NEW YORK,40.756211,-73.98625,40 45 22.36N,073 59 10.50W,BLDG-TWR,1,1162,1212,R,5.0,D,N,2013AEA03207OE C,20,14255
36-002303,O,US,NY,NEW YORK,40.756389,-73.987222,40 45 23.00N,073 59 14.00W,BLDG-TWR,1,659,712,N,5.0,D,N,1999AEA00783OE C,20,3012
36-022802,O,US,NY,NEW YORK,40.756611,-73.856158,40 45 23.80N,073 51 22.17W,BLDG,1,180,208,U,1.0,A,U,A,20,11035
36-002223,U,US,NY,NEW YORK,40.757778,-73.989167,40 45 28.00N,073 59 21.00W,BLDG,1,532,576,R,4.0,D,M,2000AEA02613OE C,20,14124
36-002438,U,US,NY,NEW YORK,40.757831,-73.974861,40 45 28.19N,073 58 29.50W,BLDG,1,561,625,R,4.0,D,N,2005AEA00099OE C,20,14124
36-022786,O,US,NY,NEW YORK,40.758003,-73.833717,40 45 28.81N,073 50 01.38W,BLDG,1,151,181,U,1.0,A,U,A,20,11035
36-001576,O,US,NY,NEW YORK,40.758056,-73.985,40 45 29.00N,073 59 06.00W,BLDG,1,732,780,R,5.0,D,N,1988AEA00557OE C,20,14152
36-030067,O,US,NY,NEW YORK,40.758092,-73.971194,40 45 29.13N,073 58 16.30W,BLDG,1,726,768,R,4.0,D,N,2016AEA02744OE C,20,17362
36-146586,O,US,NY,NEW YORK,40.758272,-73.961092,40 45 29.78N,073 57 39.93W,BLDG,1,852,898,R,1.0,A,N,2017AEA10798OE C,20,21188
36-000803,O,US,NY,NEW YORK,40.758333,-73.970278,40 45 30.00N,073 58 13.00W,BLDG-TWR,1,934,973,R,3.0,C,N,1994AEA00838OE C,20,14152
36-001856,O,US,NY,NEW YORK,40.758611,-73.984444,40 45 31.00N,073 59 04.00W,BLDG-TWR,1,238,287,R,5.0,D,N,1994AEA01044OE C,20,14152
36-124185,U,US,NY,NEW YORK,40.758864,-73.888911,40 45 31.91N,073 53 20.08W,POLE,1,31,55,N,4.0,D,N,2017AEA05692OE C,20,19092
36-001901,O,US,NY,NEW YORK,40.758889,-73.974444,40 45 32.00N,073 58 28.00W,BLDG,1,293,352,N,5.0,D,N,1994AEA00153OE C,20,14152
36-001902,O,US,NY,NEW YORK,40.758889,-73.960833,40 45 32.00N,073 57 39.00W,BLDG,1,519,563,R,2.0,D,N,1996AEA02751OE C,20,14152
36-029674,O,US,NY,NEW YORK,40.759,-73.965997,40 45 32.40N,073 57 57.59W,BLDG,1,717,768,R,2.0,C,N,2014AEA01099OE C,20,17111
36-029856,O,US,NY,NEW YORK,40.759,-73.995953,40 45 32.40N,073 59 45.43W,BLDG,1,618,641,R,5.0,D,N,2014AEA07005OE A,20,16126
36-000226,O,US,NY,NEW YORK,40.759167,-73.979444,40 45 33.00N,073 58 46.00W,BLDG,1,821,877,R,4.0,D,N,2022AEA11187OE C,20,23066
36-001449,O,US,NY,NEW YORK,40.759444,-73.945556,40 45 34.00N,073 56 44.00W,STACK,3,502,514,U,3.0,C,U,C,20,14152
36-001485,O,US,NY,NEW YORK,40.759722,-73.985278,40 45 35.00N,073 59 07.00W,BLDG-TWR,1,736,786,N,5.0,D,N,1994AEA00837OE C,20,14152
36-129792,U,US,NY,NEW YORK,40.759739,-73.864011,40 45 35.06N,073 51 50.44W,POLE,1,34,121,N,4.0,D,N,2017AEA07387OE A,20,18037
36-151513,O,US,NY,NEW YORK,40.75975,-73.982981,40 45 35.10N,073 58 58.73W,BLDG,1,485,538,N,4.0,D,N,2019AEA04939OE C,20,20265
36-027652,O,US,NY,NEW YORK,40.759769,-73.959336,40 45 35.17N,073 57 33.61W,BLDG,1,389,411,R,5.0,D,N,2013AEA02839OE A,20,14099
36-000796,O,US,NY,NEW YORK,40.76,-73.981111,40 45 36.00N,073 58 52.00W,BLDG,1,752,810,U,3.0,C,N,C,20,14152
36-124089,O,US,NY,NEW YORK,40.760092,-73.970964,40 45 36.33N,073 58 15.47W,BLDG,1,845,894,R,4.0,D,N,2016AEA04382OE C,20,19296
36-022787,O,US,NY,NEW YORK,40.760428,-73.830892,40 45 37.54N,073 49 51.21W,SPIRE,1,152,184,U,1.0,A,U,A,20,11035
36-022785,O,US,NY,NEW YORK,40.760719,-73.835708,40 45 38.59N,073 50 08.55W,SPIRE,1,166,185,U,1.0,A,U,A,20,11035
36-030055,O,US,NY,NEW YORK,40.760833,-73.9775,40 45 39.00N,073 58 39.00W,BLDG,1,605,670,R,4.0,D,N,2013AEA01877OE A,20,17037
36-002048,U,US,NY,NEW YORK,40.761111,-73.972778,40 45 40.00N,073 58 22.00W,BLDG,1,810,870,R,4.0,D,U,1999AEA03405OE C,20,14124
36-001527,O,US,NY,NEW YORK,40.761389,-73.956111,40 45 41.00N,073 57 22.00W,STACK,1,304,310,R,5.0,D,N,1989AEA00256OE C,20,14152
36-001211,O,US,NY,NEW YORK,40.761389,-73.9775,40 45 41.00N,073 58 39.00W,BLDG,1,588,654,R,3.0,C,N,1983AEA00525OE C,20,14152
36-027497,O,US,NY,NEW YORK,40.761544,-73.972078,40 45 41.56N,073 58 19.48W,BLDG,1,1420,1465,R,1.0,A,N,2014AEA07358OE C,20,16312
36-029702,O,US,NY,NEW YORK,40.761639,-73.978097,40 45 41.90N,073 58 41.15W,BLDG,1,1050,1116,R,5.0,D,N,2013AEA03679OE A,20,15135
36-001465,O,US,NY,NEW YORK,40.761667,-73.981667,40 45 42.00N,073 58 54.00W,BLDG,1,751,811,U,3.0,C,N,C,20,14152
36-000312,O,US,NY,NEW YORK,40.761667,-73.97,40 45 42.00N,073 58 12.00W,BLDG,2,514,552,L,3.0,C,N,C,20,14152
36-002462,O,US,NY,NEW YORK,40.761778,-73.968417,40 45 42.40N,073 58 06.30W,BLDG-TWR,1,916,960,R,1.0,A,M,2010AEA02357OE C,20,11052
36-025440,O,US,NY,NEW YORK,40.761956,-73.972264,40 45 43.04N,073 58 20.15W,BLDG,1,297,346,N,2.0,C,N,2011AEA01710OE A,20,11224
36-001111,O,US,NY,NEW YORK,40.7625,-73.979167,40 45 45.00N,073 58 45.00W,BLDG,1,487,551,R,3.0,C,N,1983AEA01361OE C,20,14152
36-025697,O,US,NY,NEW YORK,40.762556,-73.989392,40 45 45.20N,073 59 21.81W,BLDG,1,68,120,N,2.0,C,N,2012AEA02426OE C,20,12215
36-001855,O,US,NY,NEW YORK,40.762778,-73.969167,40 45 46.00N,073 58 09.00W,BLDG,1,278,322,N,5.0,D,N,1994AEA01152OE C,20,14152
36-000887,O,US,NY,NEW YORK,40.763044,-73.980672,40 45 46.96N,073 58 50.42W,BLDG,1,660,733,R,2.0,C,N,2004AEA02489OE C,20,4326
36-000793,O,US,NY,NEW YORK,40.763872,-73.972686,40 45 49.94N,073 58 21.67W,BLDG,1,690,740,N,5.0,D,N,2012AEA00913OE C,20,12069
36-030251,O,US,NY,NEW YORK,40.764036,-73.969972,40 45 50.53N,073 58 11.90W,BLDG,1,804,849,R,4.0,D,N,2014AEA03451OE C,20,17303
36-025654,O,US,NY,NEW YORK,40.764125,-73.97595,40 45 50.85N,073 58 33.42W,BLDG,1,162,218,N,2.0,C,N,2012AEA01796OE A,20,12129
36-129795,U,US,NY,NEW YORK,40.76465,-73.870956,40 45 52.74N,073 52 15.44W,POLE,1,27,86,N,4.0,D,N,2017AEA07393OE A,20,18037
36-022797,O,US,NY,NEW YORK,40.764675,-73.892486,40 45 52.83N,073 53 32.95W,BLDG,1,66,102,U,1.0,A,U,A,20,11035
36-001462,O,US,NY,NEW YORK,40.764722,-73.963333,40 45 53.00N,073 57 48.00W,BLDG,1,565,634,U,3.0,C,N,C,20,14152
36-001437,O,US,NY,NEW YORK,40.765,-73.979722,40 45 54.00N,073 58 47.00W,BLDG,1,755,830,R,5.0,D,N,1988AEA01129OE C,20,14152
36-000248,O,US,NY,NEW YORK,40.765,-73.971667,40 45 54.00N,073 58 18.00W,BLDG,1,566,616,R,3.0,C,N,C,20,14152
36-226688,O,US,NY,NEW YORK,40.765056,-73.978056,40 45 54.20N,073 58 41.00W,BLDG,1,455,524,N,4.0,D,N,2022AEA16335OE A,20,24107
36-150554,U,US,NY,NEW YORK,40.765069,-73.9773,40 45 54.25N,073 58 38.28W,BLDG,1,1437,1500,R,1.0,A,N,2018AEA11921OE A,20,19050
36-002388,U,US,NY,NEW YORK,40.765278,-73.9575,40 45 55.00N,073 57 27.00W,BLDG,1,414,459,R,4.0,D,N,2003AEA03016OE C,20,14124
36-020656,O,US,NY,NEW YORK,40.76575,-73.978639,40 45 56.70N,073 58 43.10W,BLDG,1,1050,1124,R,5.0,D,N,2008AEA00100OE C,20,13312
36-001434,O,US,NY,NEW YORK,40.765833,-73.946944,40 45 57.00N,073 56 49.00W,BLDG,5,215,231,D,5.0,D,N,1985AEA00167OE C,20,14152
36-030258,O,US,NY,NEW YORK,40.766347,-73.980917,40 45 58.85N,073 58 51.30W,BLDG,1,1569,1649,R,4.0,D,N,2015AEA04799OE C,20,20241
36-002417,U,US,NY,NEW YORK,40.766489,-73.983472,40 45 59.36N,073 59 00.50W,BLDG,1,636,708,R,4.0,D,N,2003AEA03505OE C,20,14124
36-123643,O,US,NY,NEW YORK,40.766867,-73.991822,40 46 00.72N,073 59 30.56W,BLDG,1,273,305,D,4.0,D,N,2017AEA03059OE A,20,17214
36-120481,O,US,NY,NEW YORK,40.7669,-73.980628,40 46 00.84N,073 58 50.26W,BLDG,1,965,1046,N,4.0,D,N,2016AEA11530OE C,20,19133
36-029756,O,US,NY,NEW YORK,40.767092,-73.9506,40 46 01.53N,073 57 02.16W,BLDG,1,448,455,R,4.0,D,N,2020AEA02281OE C,20,20202
36-020826,O,US,NY,NEW YORK,40.767272,-73.959111,40 46 02.18N,073 57 32.80W,BLDG,1,62,117,N,5.0,D,N,2010AEA02723OE A,20,11052
36-124302,O,US,NY,NEW YORK,40.767325,-73.883342,40 46 02.37N,073 53 00.03W,POLE,1,31,51,N,4.0,D,N,2018AEA03498OE C,20,18150
36-025652,O,US,NY,NEW YORK,40.767422,-73.986353,40 46 02.72N,073 59 10.87W,BLDG,1,174,253,N,5.0,D,N,2012AEA01780OE A,20,12129
36-000355,O,US,NY,NEW YORK,40.767778,-73.950833,40 46 04.00N,073 57 03.00W,STACK,1,506,515,R,3.0,C,M,1965AEA00203OE C,20,14152
36-022772,O,US,NY,NEW YORK,40.768314,-73.884822,40 46 05.93N,073 53 05.36W,NAVAID,1,8,27,U,1.0,A,U,A,20,11035
36-002336,U,US,NY,NEW YORK,40.768333,-73.983611,40 46 06.00N,073 59 01.00W,BLDG,1,750,831,U,4.0,D,U,2002AEA01654OE C,20,14124
36-006172,U,US,NY,NEW YORK,40.768333,-73.992778,40 46 06.00N,073 59 34.00W,TOWER,1,100,130,U,,,U,A,19,76150
36-022773,O,US,NY,NEW YORK,40.768586,-73.885772,40 46 06.91N,073 53 08.78W,NAVAID,1,25,44,R,1.0,A,U,C,20,13247
36-022790,O,US,NY,NEW YORK,40.768606,-73.881592,40 46 06.98N,073 52 53.73W,POLE,1,33,53,U,1.0,A,U,A,20,11035
36-151531,U,US,NY,NEW YORK,40.7691,-73.8703,40 46 08.76N,073 52 13.08W,BLDG,1,82,140,N,4.0,D,N,2019AEA05212OE C,20,24143
36-206565,O,US,NY,NEW YORK,40.769167,-73.9825,40 46 09.00N,073 58 57.00W,BLDG,1,340,420,R,4.0,D,N,2020AEA11795OE A,20,23032
36-022789,O,US,NY,NEW YORK,40.769169,-73.879536,40 46 09.01N,073 52 46.33W,BLDG,1,97,120,U,1.0,A,U,A,20,11035
36-022788,O,US,NY,NEW YORK,40.769175,-73.867706,40 46 09.03N,073 52 03.74W,BLDG,1,140,158,U,1.0,A,U,A,20,11035
36-022770,O,US,NY,NEW YORK,40.7694,-73.885356,40 46 09.84N,073 53 07.28W,FENCE,1,14,31,U,1.0,A,U,A,20,11035
36-022791,O,US,NY,NEW YORK,40.770033,-73.860886,40 46 12.12N,073 51 39.19W,BLDG,1,80,81,U,1.0,A,U,A,20,11035
36-025743,O,US,NY,NEW YORK,40.770169,-73.988572,40 46 12.61N,073 59 18.86W,BLDG,1,156,228,N,2.0,C,N,2012AEA02994OE A,20,12230
36-129675,O,US,NY,NEW YORK,40.770244,-73.982417,40 46 12.88N,073 58 56.70W,BLDG,1,391,473,N,4.0,D,N,2017AEA06412OE A,20,17363
36-030252,O,US,NY,NEW YORK,40.770653,-73.992897,40 46 14.35N,073 59 34.43W,BLDG,1,450,470,R,4.0,D,N,2014AEA06753OE C,20,17173
36-022767,O,US,NY,NEW YORK,40.770667,-73.858064,40 46 14.40N,073 51 29.03W,POLE,1,34,35,U,1.0,A,U,A,20,11035
36-022759,O,US,NY,NEW YORK,40.770739,-73.8574,40 46 14.66N,073 51 26.64W,FENCE,1,21,22,U,1.0,A,U,A,20,11035
36-022761,O,US,NY,NEW YORK,40.771067,-73.857822,40 46 15.84N,073 51 28.16W,BLDG,1,16,17,U,1.0,A,U,A,20,11035
36-022763,O,US,NY,NEW YORK,40.771497,-73.855911,40 46 17.39N,073 51 21.28W,NAVAID,1,18,19,R,1.0,A,U,C,20,13178
36-022768,O,US,NY,NEW YORK,40.771794,-73.908242,40 46 18.46N,073 54 29.67W,BLDG,1,109,166,U,1.0,A,U,A,20,11035
36-022765,O,US,NY,NEW YORK,40.771969,-73.867781,40 46 19.09N,073 52 04.01W,TOWER,1,148,155,U,1.0,A,U,A,20,11035
36-022757,O,US,NY,NEW YORK,40.772092,-73.882769,40 46 19.53N,073 52 57.97W,TOWER,1,37,42,U,1.0,A,U,A,20,11035
36-030222,O,US,NY,NEW YORK,40.772242,-73.991083,40 46 20.07N,073 59 27.90W,BLDG,1,535,558,R,4.0,D,N,2016AEA05857OE A,20,17124
36-022766,O,US,NY,NEW YORK,40.772347,-73.884958,40 46 20.45N,073 53 05.85W,POLE,1,59,63,U,1.0,A,U,A,20,11035
36-022762,O,US,NY,NEW YORK,40.772583,-73.855833,40 46 21.30N,073 51 21.00W,FENCE,1,12,17,R,1.0,A,N,C,20,13259
36-022760,O,US,NY,NEW YORK,40.772644,-73.856222,40 46 21.52N,073 51 22.40W,FENCE,1,20,21,U,1.0,A,U,A,20,11035
36-022755,O,US,NY,NEW YORK,40.772658,-73.886281,40 46 21.57N,073 53 10.61W,BLDG,1,81,84,U,1.0,A,U,A,20,11035
