OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-150895,O,US,NY,BROOKLYN,40.709678,-73.957494,40 42 34.84N,073 57 26.98W,BLDG,1,263,299,N,4.0,D,N,2019AEA04676OE A,20,19168
36-001524,O,US,NY,NEW YORK,40.709722,-74.009722,40 42 35.00N,074 00 35.00W,TOWER,1,220,249,N,5.0,D,N,1990AEA01043OE C,20,14152
36-030248,O,US,NY,NEW YORK,40.709806,-74.007169,40 42 35.30N,074 00 25.81W,BLDG,1,746,780,N,4.0,D,N,2016AEA10705OE C,20,17276
36-025837,O,US,NY,NEW YORK,40.710292,-74.012019,40 42 37.05N,074 00 43.27W,BLDG,1,981,996,R,1.0,A,N,2011AEA00352OE C,20,14113
36-173489,O,US,NY,NEW YORK,40.710342,-74.010114,40 42 37.23N,074 00 36.41W,BLDG,1,413,447,N,1.0,A,N,2019AEA07961OE A,20,21118
36-146576,O,US,NY,NEW YORK,40.710733,-73.991581,40 42 38.64N,073 59 29.69W,BLDG,1,821,824,R,4.0,D,N,2015AEA01745OE A,20,18288
36-123809,U,US,NY,NEW YORK,40.710967,-73.909919,40 42 39.48N,073 54 35.71W,ANTENNA,1,26,132,N,4.0,D,N,2017AEA07155OE A,20,18023
36-025480,O,US,NY,BROOKLYN,40.712733,-73.969467,40 42 45.84N,073 58 10.08W,BRIDGE,1,355,355,R,5.0,D,N,2008AEA02586OE A,20,11258
36-029988,O,US,NY,NEW YORK,40.712922,-74.009097,40 42 46.52N,074 00 32.75W,BLDG,1,955,983,R,5.0,D,N,2015AEA07051OE A,20,16302
36-020633,O,US,NY,NEW YORK,40.712986,-74.013131,40 42 46.75N,074 00 47.27W,BLDG,1,1792,1806,H,1.0,A,N,2015AEA06599OE C,20,16145
36-226230,O,US,NY,NEW YORK,40.713267,-73.967536,40 42 47.76N,073 58 03.13W,BLDG,1,560,579,R,2.0,C,N,2021AEA16735OE A,20,24044
36-025318,O,US,NY,BROOKLYN,40.714153,-73.947056,40 42 50.95N,073 56 49.40W,BLDG,1,74,110,N,1.0,A,N,2022AEA03221OE C,20,24218
36-145318,O,US,NY,NEW YORK,40.714333,-74.004056,40 42 51.60N,074 00 14.60W,BLDG,1,249,280,N,2.0,C,N,2018AEA08682OE A,20,18267
36-001419,O,US,NY,NEW YORK,40.714444,-73.995833,40 42 52.00N,073 59 45.00W,BLDG,1,435,475,U,3.0,C,U,C,20,14152
